source target w 
0 167 0.29611194133758545
1 57 0.516562283039093
2 57 0.2516707181930542
3 57 0.6885567903518677
4 78 0.07397246360778809
4 199 0.866521954536438
5 24 0.13657987117767334
5 42 0.10247904062271118
6 29 0.18405646085739136
6 57 0.7264467477798462
7 143 0.3152539134025574
7 171 0.6871066689491272
8 82 0.07563531398773193
9 189 0.19663816690444946
10 57 0.31641197204589844
11 143 0.4017401337623596
12 57 0.1185683012008667
13 143 0.8273953795433044
14 57 0.3820844292640686
15 42 0.6604938507080078
16 26 0.8535717725753784
17 57 0.5931529998779297
18 132 0.6367253661155701
19 157 0.9826293587684631
20 63 0.27449530363082886
21 57 0.65837562084198
22 57 0.2775419354438782
22 191 0.8573248386383057
23 57 0.8993282318115234
25 42 0.03901386260986328
25 125 0.9268229007720947
26 31 0.7387571930885315
26 57 0.7178835272789001
26 78 0.7058374285697937
26 80 0.9156495332717896
26 120 0.43398022651672363
27 57 0.07715076208114624
28 57 0.3565255403518677
28 98 0.14786267280578613
28 125 0.5330533385276794
29 75 0.4066462516784668
29 119 0.23180752992630005
30 57 0.45453929901123047
32 125 0.9737018942832947
33 57 0.4605622887611389
34 44 0.5158750414848328
35 57 0.42201972007751465
35 150 0.5786035060882568
36 57 0.9455063343048096
37 57 0.8057464361190796
38 57 0.6774807572364807
38 198 0.6086552739143372
39 123 0.6178964376449585
40 53 0.6931666135787964
40 215 0.4353882670402527
41 42 0.03529560565948486
41 62 0.19079405069351196
41 101 0.9267928600311279
41 102 0.5298867225646973
41 123 0.09496325254440308
41 133 0.5788637399673462
42 45 0.913135826587677
42 55 0.027500152587890625
42 57 0.16338032484054565
42 58 0.3008671998977661
42 88 0.5200687646865845
42 125 0.3833853006362915
42 162 0.44505441188812256
42 168 0.012554943561553955
42 170 0.7341395616531372
43 57 0.9388716220855713
44 57 0.8056191802024841
44 73 0.14593380689620972
44 96 0.09694832563400269
44 114 0.7076261639595032
44 144 0.5112292766571045
44 153 0.7049654722213745
44 174 0.01142430305480957
44 192 0.4701884984970093
44 194 0.852621853351593
44 213 0.7319557070732117
45 57 0.5182586908340454
45 133 0.5983095169067383
46 57 0.4526599645614624
47 157 0.22508323192596436
47 167 0.3110503554344177
47 172 0.1955101490020752
48 57 0.9153046011924744
49 57 0.7751433253288269
50 125 0.6748613119125366
51 57 0.1165737509727478
52 57 0.885810911655426
54 57 0.6567713618278503
56 211 0.8458973169326782
57 59 0.3033049702644348
57 60 0.6059984564781189
57 63 0.9881911873817444
57 64 0.8363295793533325
57 68 0.9009983539581299
57 69 0.3950076103210449
57 71 0.8809385895729065
57 72 0.1083838939666748
57 74 0.543244481086731
57 75 0.21847254037857056
57 76 0.3833923935890198
57 77 0.37195128202438354
57 83 0.5374095439910889
57 84 0.9550698399543762
57 85 0.7475419640541077
57 87 0.4978818893432617
57 88 0.8549227714538574
57 89 0.2437722086906433
57 91 0.7576857209205627
57 92 0.4536336660385132
57 94 0.4129945635795593
57 97 0.55853670835495
57 99 0.11695164442062378
57 100 0.5577786564826965
57 104 0.6681190133094788
57 105 0.9274658560752869
57 106 0.34432846307754517
57 107 0.6800137758255005
57 108 0.9997560381889343
57 109 0.2855154871940613
57 110 0.9752961993217468
57 111 0.2517539858818054
57 113 0.7203974723815918
57 115 0.6958750486373901
57 116 0.6396640539169312
57 118 0.8954015374183655
57 119 0.29791778326034546
57 121 0.6314095258712769
57 124 0.5028060674667358
57 126 0.12392920255661011
57 129 0.3785930275917053
57 130 0.16608846187591553
57 131 0.7210776805877686
57 132 0.5449479818344116
57 135 0.5489823222160339
57 137 0.34831464290618896
57 138 0.5024042725563049
57 139 0.34447842836380005
57 140 0.6436680555343628
57 141 0.9855848550796509
57 142 0.5757352709770203
57 143 0.27854084968566895
57 145 0.19458597898483276
57 146 0.5382195115089417
57 147 0.12907689809799194
57 148 0.12417489290237427
57 149 0.1745615005493164
57 150 0.3301776051521301
57 155 0.5370087623596191
57 158 0.8443058133125305
57 159 0.6936696767807007
57 161 0.8830593824386597
57 163 0.18605130910873413
57 169 0.5421940684318542
57 171 0.055559635162353516
57 173 0.7868285775184631
57 175 0.6042049527168274
57 176 0.9836073517799377
57 177 0.1443939208984375
57 178 0.9009649157524109
57 179 0.9221132397651672
57 180 0.9042587876319885
57 181 0.5713474154472351
57 182 0.9546396732330322
57 183 0.833917498588562
57 184 0.8730396628379822
57 185 0.4675195813179016
57 186 0.11630094051361084
57 187 0.4937779903411865
57 188 0.5937691330909729
57 189 0.15941548347473145
57 190 0.21318042278289795
57 193 0.02062678337097168
57 195 0.32472628355026245
57 196 0.9355342388153076
57 197 0.585498034954071
57 200 0.4694599509239197
57 204 0.5200790166854858
57 205 0.8117728233337402
57 207 0.05846822261810303
57 208 0.11420518159866333
57 209 0.33376479148864746
57 210 0.21224093437194824
57 212 0.7578925490379333
57 213 0.8532917499542236
57 214 0.014887094497680664
57 215 0.07566016912460327
57 217 0.013091087341308594
61 154 0.6886272430419922
62 101 0.9024272561073303
65 125 0.11232995986938477
66 212 0.268521785736084
67 125 0.6591103076934814
70 88 0.17350733280181885
79 157 0.9247397780418396
81 143 0.616580605506897
86 143 0.36080819368362427
90 125 0.5324752926826477
92 160 0.6558842658996582
93 125 0.32319343090057373
95 143 0.1125720739364624
98 166 0.5033608078956604
101 114 0.5091074705123901
101 125 0.5100826025009155
101 151 0.427034854888916
101 171 0.8210367560386658
102 123 0.36047041416168213
102 156 0.45160365104675293
103 143 0.7055938243865967
103 202 0.18528133630752563
103 203 0.6338793039321899
112 166 0.3894421458244324
114 197 0.7398367524147034
114 216 0.22876781225204468
115 136 0.5184791684150696
117 119 0.5489146709442139
122 174 0.09770172834396362
122 199 0.13642889261245728
123 125 0.6917566657066345
124 143 0.35447174310684204
125 168 0.7969483137130737
125 170 0.006068706512451172
127 165 0.2528356909751892
128 204 0.08816903829574585
130 157 0.699735701084137
132 143 0.4855043292045593
132 165 0.4067392945289612
132 206 0.41681432723999023
133 204 0.10917556285858154
134 174 0.6417974829673767
143 157 0.5124629139900208
143 211 0.1549435257911682
152 170 0.6881438493728638
164 166 0.4899504780769348
167 171 0.0164262056350708
171 201 0.7689601182937622
